"Serial number","Northern Caves Area","Injection point","Injection point detail","NGRI","Detection point","Detection point detail","NGRD","Tracer","Quantity","Detection method","Time","Distance","Average velocity","Depth","Injection Date","People ","Reference or source","Notes"
320,"Alum Pot","Upper Borrins Moor Cave",,"SD770752","Borrins Moor Cave","Powerful inlet near entrance","SD770752","Fluorescein","Not known","Visual","30 minutes",,,,12/10/1969,"ULSA PMCI","ULSA Explorations Journal 2:83 (1989)",
321,"Ease Gill","Boundary Pot",,"SD679808","Thackereys Passage",,,"Fluorescein","3 ounces","Visual","3 hours",,,,24/03/1951,"NPC/RRCPC PMCI","Caverns of Upper Easegill page 11, 21","Fairly heavy flow"
322,"Ease Gill","Boundary Pot",,"SD679808","Not detected",,,"Fluorescein","1 ounce","Not detected",,,,,11/02/1951,"NPC/RRCPC PMCI","Caverns of Upper Easegill page 20","Heavy flow"
323,"Ease Gill","The Borehole",,"SD677807","Green and Smelly Passage","Choke at top of passage",,"Fluorescein","1 ounce","Visual","1 hour",,,,17/12/1950,"RRCPC","Transaction of the Cave Research group 9(2):82","Low flow"
324,"Dentdale and Garsdale","Cassa Dub Sinks",,"SD762868","The Popples",,"SD730861","Not known","Not known","Not known","48 hours",,,,"Not known","BSA ","BSA Journal 6(46):9 (1971)","Extremely dry conditions"
325,"Darnbrook and Cowside","Cherry Tree Hole sink",,"SD881704","Rising in Cowside Beck",,"","Fluoroscein","2 lbs","Not known","2 days",,,,"1958","CPC","Journal of the Craven Pothole Clun 3(6):289 (1966)",
326,"Fountains Fell and Penyghent","Churn Milk Holes",,"SD836718","Brants Gill Head",,"SD812729","Fluoroscein","Not known","Not known","2 days",,,,"1950s","NPC","Bulletin od the Bradford Pothole Club 6(7):2 (1970)",
327,"Darnbrook and Cowside","Cockpits",,"","Rising in Cowside Beck",,"","Fluoroscein","7 lbs","Not known","3 days",,,,"03/1957","CPC","Journal of the Craven Pothole Clun 3(6):287 (1966)",
328,"Ease Gill","Corner Sink",,"SD675805","Junction below pitch in Trident Passage",,,"Fluoroscein","2 ounces","Visual","30 minutes",,,,28/01/1951,"NPC","Caverns of Upper Easegill:9,20 (1952)",
329,"Ease Gill","Corner Sink",,"SD675805","Not detected",,,"Not detected","1 ounce","Not detected",,,,,19/11/1950,"NPC","Caverns of Upper Easegill:20 (1952)","High flow"
330,"Ease Gill","Cow Dub",,"SD674805","Not detected",,,"Not detected","1 ounce","Not detected",,,,,04/04/1951,"NPC","Caverns of Upper Easegill:10,21 (1952)","Heavy flow"
331,"Darnbrook and Cowside","Darnbrook Pot",,"SD885710","Not detected",,,"Not known","Not known","Not detected",,,,,"1957","CPC","Bulletin of the Bradford Pothole Club 17:12 (1977)",
332,"Darnbrook and Cowside","Darnbrook Pot",,"SD885710","Yew Cogar Rising Cave",,"SD910700","Not known","Not known","Not known","12 days",,,,"1957","CPC","Bulletin of the Bradford Pothole Club 17:12 (1977)",
333,"Great Whernside","Dowbergill Beck",,"","Dowbergill Passage, Dow Cave","Main strean inlet sump","","Fluoroscein","Not known","Not known","2 hours",,,,"1955","CPC","Journal of the Craven Pothole Club 2(1):6 (1955)",
334,"Barbondale","Sink near Dog Hole",,"SD667840","Not detected at Rising at SD663833",,,"Not known","Not known","Not detected",,,,,"1969","GC","Gritstone Club Journal 3:56 (1970)",
335,"Barbondale","Dog Hole","Far South Passage sump","SD66788420","Not detected at Rising at SD663833",,,"Not known","Not known","Not detected",,,,,"1969","GC","Gritstone Club Journal 3:56 (1970)",
336,"Great Whernside","Dowbergill Sink",,"","Dow Cave end of Dowbergill Passage",,"","Fluoroscein","0.25 lb","Visual","10.5 hours",,,,19/09/1953,"CPC","Craven Pothole Club Journal 1(6):263 (1954)",
337,"Great Whernside","Dowbergill Sink",,"","Card is inconsistent",,,,,,,,,,,,,
338,"Great Whernside","Providence Pot",,"SD992728","Dow Cave","At entrance","SD983743","Fluoroscein","Not known","Visual","7.5 hours",,,,25/10/1953,"CPC","Craven Pothole Club Journal 1(6):273 (1954)","Flow moderate"
339,"East Kingsdale","East Kingsdale sink",,"SD714783","Dry Gill Cave and Gods Bridge negative. Keld Head positive",,"SD696766","Fluoroscein","Not known","Visual","4 days",,,,26/03/1970,"BSA ","Bulletin of the British Speleological Association 4:19 (1971), Cambridge Underground 2(1):10",
340,"Fountains Fell","Echo Pot",,"SD851703","Magnetometer Barn Spring (???)",,"","Not known","Not known","Not known","Apparently 2 days (see note)",,,,"Autumn 1965","NPC","Journal of the Bradford Pothole Club 4(9):3- (1966)","Apparently positive but must have been in error as Echo Pot positive to Brants Gill and Douk Gill in 1972"
341,"Fountains Fell","Echo Pot",,"SD851703","Brants Gill Head and Douk Gill Cave",,"SD812729","Leucophor","2 kg","Detectors","1 week to BGH, 2 weeks to DGC, Fornah Gill negative",,,,"01/1972","ULSA PMCI","ULSA Review 13:15","Disproved NPC positive to Magnetometer Barn Spring"
342,"Birkwith","Fairbottom Caves",,"SD800781","Not detected",,,"Fluorescein","Not known",,,,,,"1954",,"Cave Research Group Newsletter 85","Probably failed due to low water"
343,"Upper Wharfedale","Foss Gill Pot",,"SD944742","Foss Gill Cave",,"SD948744","Not known","Not known","Not known","19 hours",,,,"Not known","CPC","Craven Pothole Club Journal 4(5):256 (1971)",
344,"Gaping Gill","Gaping Gill","West Fissure","SD751727","Gaping Gill, West Pot",,"SD751727","Not known","Not known","Visual","10 minutes",,,,"08/1972","CPC","Craven Pothole Club Journal 4(6):311 (1972)",
345,"Gaping Gill","Gaping Gill","sink in Main Chamber","SD751727","Gaping Gill, West Pot",,"SD751727","Not known","Not known","Visual","10 minutes",,,,"08/1972","CPC","Craven Pothole Club Journal 4(6):311 (1972)",
346,"Gaping Gill","Gaping Gill","Main Shaft","SD751727","Not detected",,"SD751727","Inscribed wood","Not known","Not detected",,,,,"19th Century","T. McKenney Hughes","Craven Pothole Club Journal 3(4):183 (1964)","Wood inscribed with words saying a reward available if wood returned to McKenney Hughes"
347,"Gaping Gill","Gaping Gill","Stream Chamber","SD751727","Clapham Beck Head and South East Pot",,"SD754711","Rhodamine B","300g","Cotton Wool detectors","7 days to CBH, 9 days to SEP (?)",,,,13/05/1961,"BPC","BPC Bulletin 3(3), BPC Bulletin 4(8):23 (1966), CRG Newsletter 1962:10",
348,"Gaping Gill","Gaping Gill","Rathole","SD751727","Clapham Beck Head",,"SD754711","Rhodamine B","300g","Cotton Wool detectors","6 days",,,,14/05/1960,"BPC","BPC Bulletin 3(3):15, CRG Newsletter 1962:9",
349,"Gaping Gill","Gaping Gill","Main Shaft","SD751727","Clapham Beck Head, negative at South East Pot",,"SD754711","Rhodamine B","300g","Cotton Wool detectors","5 days",,,,"05/1960","BPC","BPC Bulletin 3(3):15, CRG Newsletter 1962:9",
350,"Gaping Gill","Gaping Gill","Main Chamber","SD751727","Clapham Beck Head and South East Pot",,"SD754711","Rhodamine B","Not known","Detectors","Not known",,,,"Whitson 1960","BPC","BPC Bulletin 3(2)",
351,"Gaping Gill","Gaping Gill","Fell Beck","SD751727","Beck Head Stream Cave","Inauguration Cavern","SD754711","Rhodamine B","300g","Cotton Wool detectors","5-12 days",,,,"08/1960","BPC","BPC Bulletin 3(3):16",
352,"Gaping Gill","Gaping Gill","Fell Beck","SD751727","Ingleborough Cave","Near Wallows","SD754710","Rhodamine B","450g","Cotton Wool detectors","5 days",,,,07/08/1960,"BPC","CRG Newsletter 1962:9",
353,"Gaping Gill","Gaping Gill","Fell Beck","SD751727","Clapham Beck Head",,"SD754711","Rhodamine B","450g","Cotton Wool detectors","5 days",,,,08/08/1960,"BPC","CRG Newsletter 1962:9",
354,"Gaping Gill","Gaping Gill","West Slope Sink","SD751727","Southeast Pot",,"SD751727","Rhodamine B","Not known","Cotton Wool detectors","<4 days",,,,29/05/1960,"BPC",,"Negative at Clapham Beck Head probably due to low water flow"
355,"Gaping Gill","Gaping Gill","Fell Beck","SD751727","Clapham Beck Head",,"SD754711","Fluoroscein","Not known","Not known","Not known",,,,"1902?","YGPS","British Caver 50:18 (1968-1969)",
356,"Gaping Gill","Gaping Gill","Fell Beck","SD751727","Clapham Beck Head",,"SD754711","Sodium chloride","0.5 ton 04/06/1900, 0.5 ton 05/06/1900","Not known","11 days, 14 to peak, 17 last traces",,,,04/06/1900,"YGPS","Craven Pothole Club Journal 3(4):182",
357,"Gaping Gill","Gaping Gill","Fell Beck","SD751727","Clapham Beck Head",,"SD754711","Ammonium sulphate","2 cwt 11.30, 2 cwt 14.30","Not known","5 days",,,,"28/04.1900","YGPS","Craven Pothole Club Journal 2(1):28 (1955), Craven Pothole Club Journal 3(4):182 (1964)","Detectable until 06/05/1900"
358,"Gaping Gill","Gaping Gill","Fell Beck","SD751727","Clapham Beck Head",,"SD754711","Fluoroscein","0.25 lb","Visual","4 days",,,,"1962","BSA ","BSA Bulletin 60 (1963), Craven Pothole Club Journal 3(4):182 (1964)","Also positive to detectors in Lake Avernus"
359,"Gaping Gill","Gaping Gill","Main Shaft","SD751727","Not detected",,,"Chaff","Not known","Not detected","Not detected",,,,"19th Century","T. McKenney Hughes","Craven Pothole Club Journal 3(4):183 (1964)",
360,"Leck Fell","Gavel Pot",,"SD666791","Not detected",,,"Artificial flood pulse",,,,,,,"1973","RRCPC","Descent 23:17 (1973)",
361,"Ease Gill","Gelder Hole",,"SD675805","Showerbath Inlet",,,"Fluoroscein","1 ounce","Visual","Instantaneous",,,,04/04/1951,"NPC/RRCPC PMCI","Caverns of Upper Easegill 10, 20",
362,"Gaping Gill","Grange Rigg Pot",,"SD755727","Not detected",,,"Rhodamine B","300g","Not detected","Not detected",,,,"1961","BPC","BPC Bulletin 3(5):9, CRG Newsletter 1962:9 ","Negative to detectors in Clapham Beck Head and Austwick Beck Head after 7 days, then removed. Very low flow"
363,"Fountains Fell","Gingling Sink",,"SD856702","Brants Gill Head",,"SD812729","Fluoroscein","Not known","Not known","3.5 days",,,,"1950s","NPC","BPC Bulletin 5(7):2 (1970)",
364,"Fountains Fell","Gingling Sink",,"SD856702","Brants Gill Head",,"SD812729","Fluoroscein","Not known","Not known","3 days 20.5 hours",,,,05/10/1950,"CPC","Craven Pothole Club Journal 3(4):183 (1964)",
365,"Chapel-le-Dale","Green Ridge Caves",,"SD735752","Black Shiver Cave",,"SD737754","Rhodamine B","Not known","Visual","Not known",,,,"05/1967","ULSA PMCI","ULSA Explorations Journal 1969:26","Wet conditions"
366,"Wild Boar Fell","Green Rigg Pot",,"SD736989",,,,,,,,,,,,,,
367,"White Scar","Greenwood Pot",,"SD727737","White Scar Cave",,"SD712745","Fluoroscein","Not known","Not known","12 hours",,,,"Not known","YGPS","Craven Porhole Club Journal 3(4):83 (1964), 3(1)",
368,"Langstrothdale","Hagg Beck Cave",,"SD900782","Langstroth Pot","Large inlet bwtween 3rd and 4th pitches","SD896788","Not known","Not known","Not known","Not known",,,,"11/1968","CRG","CRG Newsletter 117:12 (1969)",
369,"Cosh and Foxup","Hesleden Bergh Cave",,"SD876749","Spring 100-150 feet above road",,"","Fluorescein","Not known","Not known","< 1 hour",,,,07/12/1969,"BPC","BPC Bulletin 5(7):p (1970)",
370,"Ease Gill","Howgill Sink",,"SD672804","Not detected in Lancaster Hole",,,"Not known","Not known","Not detected","Not detected",,,,"02/1970","RRCPC","Descent 12:9 (1970)",
371,"Penyghent","Hunt Pot",,"SD826740","See notes - Inconclusive at TLG, CC and P-C Jn. Negative at BGH and DGC",,,"OBA","Not known","Not detected","Not detected",,,,"01/07/1990-18/08/1990","ULSA PMCI",,"Penyghent Pot (Too long gone, Cholera Canal, Paradise-Cholera junction), Brants Gill Head, Douk Gill Cave. Flood after injection diluted OBA and washed it through quickly"
372,"Penyghent","Hunt Pot",,"SD826740","Not detected",,,"OBA","Not known","Not detected","Not detected",,,,"1989","ULSA PMCI",,"Negative in Too Long Gone and Cholera Canal. OBA suspect and drought conditions"
373,"Penyghent","Hunt Pot",,"SD826740","Penyghent Pot","Hunt Pot Inlet","SD829733","Fluoroscein","See notes","Visual","Maximum 3 days",,,,"16/17/18/19/04/1954","NPC/CRG","Cave Research Group Newsletter 49/50:5-6 (1954)","1.5 lbs of dye each day. Visual at Brants Gill Head 24/04/1954. Dry conditions. "
374,"Penyghent","Hull Pot",,"SD824746","Brants Gill Head, Douk Gill Cave",,"SD812729","Fluoroscein","Not known","Visual","10 days",,,,"1950s","NPC","BPC Bulletin 5(7):2 (1970)",
375,"Penyghent","Hunt Pot",,"SD826740","Penyghent Pot and Brants Gill Head","Hunt Pot Inlet","SD829733","Fluoroscein","Not known","Not known","9 days",,,,"1950s","NPC","BPC Bulletin 5(7):2 (1970)",
376,"Gaping Gill","Hurnell Moss Pot",,"SD745724","Ingleborough Cave, Clapham Beck Head","Gothic Arch sump strong positive, less strong at CBH","SD754710","Leucophor","Not known","Detectors","10 days or less",,,,09/11/1982,"CDG","CDR Newsletter 66 (1983)","Moses Well negative. Suggests HMP flows to Gothic Arch. Less strong positive at CBH due to dilution with Gaping Gill water."
377,"Gaping Gill","Ingleborough Cave","Giants Hall","SD754710","Clapham Beck Head",,"SD745711","Rhodamine B","25g","Cotton wool detector","15 hours (?)",,,,13/03/1960,"BPC","BPC Bulletin 3(3):15, CRG Newsletter 1962:8","Normal water flow"
378,"Gaping Gill","Ingleborough Cave","Lake Avernus","SD754710","Lake in Clapdale",,,"Fluoroscein","Not known","Visual","1 day",,,,"Spring 1955","BPC","BPC Bulletin 2:43 (1955)",
379,"Gaping Gill","Ingleborough Cave","Calcite Chamber (?)","SD754710","Ingleborough Cave","Blue Sump","SD754710","Fluoroscein","Not known","Not known","Not known",,,,"1967 or 1968","BPC","BPC Bulletin 5(3):30-31 (1968)",
380,"Gaping Gill","Ingleborough Cave",,"SD754710",,,,,,,,,,,,,,
381,"Ease Gill","Innominate Sink",,"SD675805",,"Broadway",,"Fluoroscein","0.25 ounce","Visual","10 minutes",,,,08/04/1951,"NPC/RRCPC PMCI","Caverns of Upper Easegill:13","Heavy flow conditions"
382,"Penyghent Gill","Blishmire House Cave sink (see survey with article)",,"SD848723","Blishmire House Cave","Left hand inlets 1 and 2. Negative to 3 but very likely","SD848723","Rhodamine B","Not known","Visual","A few minutes","< 20m",,,27/10/1973,"MUSS, Juan Corrin, Peter Smith","MUSS Journal 7:14-16",
383,"Penyghent Gill","Blishmire House Cave sink 2 (see survey with article)",,"SD848723","Blishmire House Cave","Left hand inlet in Booster Inlet","SD848723","Leucophor BS","Not known","Cotton wool detectors","24 hours","125m",,,"01/12/1973","MUSS, Juan Corrin, Peter Smith","MUSS Journal 7:14-16","Very low flow"
384,"Ease Gill","Innominate Sink","200m above Innominate Sink","SD675805","First rising above Cow Dub",,"","Fluoroscein","0.5 ounce","Visual","1 hour, peaked at 1.5 hours",,,,22/04/1951,"NPC/RRCPC PMCI","Caverns of Upper Easegill:21",
385,"Ease Gill","Innominate Sink",,"SD675805",,"Broadway top inlet",,"Fluoroscein","1 ounce 1200, 1 ounce 1230","Visual","1 hour",,,,26/04/1951,"NPC/RRCPC PMCI","Caverns of Upper Easegill:12",
386,"Leck Fell","Ireby Fell Cavern",,"SD673773","Notts Pot","Inlet above last pitch","SD671778","Not known","Not known","Not known","Not known",,,,"Not known, 1969 or before","Not known","Descent 8:3 (1969)",
387,"West Kingsdale","Jingling Pot",,"SD699784","Not detected",,,"Fluorescein","0.5 lb","Not detected","Not detected",,,,25/06/1966,"ULSA PMCI","ULSA Explorations Journal14 (1969)",
388,"Dentdale and Garsdale","Kirk Bank Cave",,"SD731870","Kirk Gill","near Gorge","","OBA","Not known","Detectors","Not known",,,,"late 1988","ULSA PMCI","ULSA Explorations Journal II:43 (1989)","Detectors in Birks Fell rising and Water Gill cave both negative"
389,"Ease Gill","Kirk Pot",,"SD662802","Leck Beck Head",,"SD65948000","Not known","Not known","Not known","Not known",,,,"1969 or <","Not known","Descent 8:3 (1969)",
390,"Malham","Large shakehole west of Kuling Hole",,"SD874638","Malham Cove Rising","570m choke in Aire River Passage","","Not known","Not known","Not known","Not known",,,,"1991","CDG","CDG Newsletter 103:38 (1992)",
391,"Ease Gill","Lancaster Hole",,"SD664807","Leck Beck Head",,"SD65948000","Artificial flood pulse",,"Visual","17 minutes",,,,"1973","RRCPC/NPC","Descent 23:17 (1973)","Dam built Lancaster Hole sump, pulse observed a Leck Beck Head"
392,"Ease Gill","Lancaster Hole",,"SD664807","Leck Beck Head",,"SD65948000","Not known","Not known","Not known","Not known",,,,"Not known","Not known","Descent 8:3 (1969)",
393,"Great Whernside","Langcliffe Pot",,"SD995710","Black Keld",,"SD974709","Fluoroscein","Not known","Not known","Not known",,,,"Not known","CPC","Craven Pothole Club Journal 1(6):290 (1954)",
394,"Alum Pot","Long Churn Cave",,"SD772755","Footnaws Hole and Turn Dub",,"SD791753","Fluoroscein","Not known","Not known","11 days to FH, 12 days to TD",,,,"05/09/1901","YGPS","Craven Pothole Club Journal 3(4):183 (1964)",
395,"Newby Moss","Long Kin West Pot",,"SD731724","Moses Well",,"SD751702","Not known","Not known","Not known","Not known",,,,"1951","CRG","Cave Research Group Newsletter 32 (1951), Gritstone Club Journal 3:8 (1970)",
396,"Newby Moss","Long Kin West Pot",,"SD731724","Moses Well",,"SD751702","Fluoroscein","Not known","Not known","12 hours",,,,"Not known","YGPS?","Craven Pothole Club Journal 3(4):183 (1964)",
397,"White Scar","Loose Pot",,"SD728732","White Scar Cave",,"SD712745","Fluoroscein","Not known","Not known","26 hours",,,,"1984 or 1985","NCC PMCI","NCC Journal 1985:28","Which inlet in WSC the water entered is not known as detectors placed to determine this were destroyed in a flood "
398,"Leck Fell","Lost Johns Cave",,"SD670786","Leck Beck Head",,"SD65948000","Not known","Not known","Not known","Not known",,,,"Not known","Not known","Cave Science 4(48):30 (1971)",
399,"Leck Fell","Lost Johns Cave",,"SD670787","Leck Beck Head",,"SD65948000","Fluoroscein","Not known","Not known","Not known",,,,"Not known","Not known","Descent 19:12 (1971)",
400,"Leck Fell","Lost Johns Cave",,"SD670787","Leck Beck Head",,"SD65948001","Artificial flood pulse",,"Visual","15 minutes",,,,"1973?","RRCPC","Descent 23:17 (1973)","Dam at Terminal Sump, pulse seens at LBH 15 minutes later"
401,"Chapel-le-Dale","Lower Barghs Pot",,"SD751768","Southerscales Pot","Large inlet half way along Millipede Crawl","SD750768","Polar Red B","Not known","Vusual","30 minutes",,,,19/05/1905,"ULSA PMCI","ULSA Explorations Journal 1969:36",
402,"Fountains Fell","Magnetometer Pot","HWCPC dig","SD849697","Magnetometer Pot","Negative to Rough Crawl extension","SD849697","Not known","Not known","Not detected","Not known",,,,26/05/1905,"PCC","Descent 24:6 (1973)","No connection between HVCPC dig and Rough Crawl extension"
403,"Fountains Fell","Magnetometer Pot","Milestone Chamber","SD849697","Magnetometer Pot","Bellybutton Rift","SD849697","Fluoroscein","Not known","Visual","Not known",,,,29/05/1905,"ULSA PMCI","ULSA Explorations Journal II:61 (1989)",
404,"Fountains Fell","Magnetometer Pot","Holes Passage sump","SD849697","Magnetometer Pot","Bellybutton Rift","SD849697","Not known","Not known","Not known","Not known",,,,29/05/1905,"ULSA PMCI","ULSA Explorations Journal II:61 (1989)",
405,"Fountains Fell","Magnetometer Pot","Two sumps below Holes Junction","SD849697","Magnetometer Pot","Pendulum Passage","SD849697","Not known","Not known","Not known","Not known",,,,01/06/1905,"CUCC","CUCC Journal 1980:11",
406,"The Allotment","Marble Pot",,"SD759730","Not detected",,,"Rhodamine B","Not known","Detectors",,,,,"07-08/1967","CRG","CRG Newsletter 107:3 (1967)","Detectors at both Clapham Beck Head and Austwick Beck Head negative"
407,"The Allotment","Marble Pot",,"SD759730","Austwick Beck Head",,"SD776718","Not known","Not known","Not known","7 days",,,,"1976","ULSA PMCI","Descent 33:26 (1976)","With flood pulse"
408,"The Allotment","Marble Pot",,"SD759730","Not detected",,,"Rhodamine B","Not known","Detectors",,,,,"08/1966","CRG","CRG Newsletter 102:16 (1966)","Detectors at Clapham Beck head, Austwick Beck Head and Moses Well all negative"
409,"Marble Steps","Marble Steps Pot",,"SD680771","Not detected",,,"Fluoroscein","2.5 lbs","Visual",,,,,"< 1952","BSA ","CRG Newsletter 49/50:3 (1954)","Not observed at either Keld Head of Leck Beck Head. Quantity of dye thought too small for distances (1800m to KH, 3750m to LBH)"
410,"Marble Steps","Marble Steps Pot",,"SD680771","Keld Head",,"SD696766","Fluoroscein","12 lbs","Visual","7 days",,,,30/08/1952,"CRG","CRG Newsletter 49/50:4 (1954)","Heavt rain on 02 and 03/09. Water green at Ingleton!"
411,"Dentdale and Garsdale","Mill Beck Flood Sink",,"SD701869",,,,,,,,,,,,,,
412,"Dentdale and Garsdale","Mill Beck Sink Cave",,"SD701869",,,,,,,,,,,,,,
413,"Great Whernside","Mossdale Caverns",,"SE016697","Black Keld",,"SD974709","Fluoroscein","2.5 lbs at 1830, 2.5lbs at 2015","Visual","14 days",,,,04/06/1949,"NPC Jack Myers ","Transactions of the Cave Research Group 1(4):19+ (1950), Cave Science 13:218 (1950)","Green water resurged until 25/06/1949"
414,"Great Whernside","Mossdale Caverns","Far Syphon Passage Sump","SE016697","Not detected from suspected inlet sump in Minicow Passage",,,"Fluoroscein","Not known",,,,,,16/06/1965,"ULSA PMCI","ULSA Exploration Journal II:24 (1989)","Distance 200ft but flow slow and dye not seen in three hours the party was in Minicow Passage"
415,"Nidderdale","100m upstream of New Goyden Pot entrance",,"SE102754","New Goyden Pot","Dry Wath Inlet and small streamway in extension","SE102754","Not known","small quantity","Visual","Not known",,,,"Easter 1978","CUCC","CUCC Journal 1980:6",
416,"Birkwith","North Fairbottom Cave",,"SD80107852","Lower Ling Gill Cave",,"SD801785","Not known","Not known","Visual","90 minutes",,,,"05/1972","CPC","CPC Journal 4(6):312 (1972)","Wet conditions"
417,"Leck Fell","Notts Pot",,"SD671778","Gavel Pot","In sump","SD666791","Not known","Not known","Not known","Not known",,,,"1973","CDG","Descent 24:4 (1973)",
418,"Leck Fell","Notts Pot",,"SD671779","Gavel Pot","In sump","SD666791","Fluoroscein","Not known","Not known","Not known",,,,26/05/1905,"BSA ","BSA Bulletin 9:1 (1973)",
419,"Upper Littondale","Old Cote Moor Pot",,"SD921736","Unnamed spring 400 feet lower",,"","Fluoroscein","Not known","Not known","Not known",,,,"Winter 1962","BPC","BPC Bulletin 4(2)",
420,"Penyghent Gill","Several sinks in Out Sleets Beck Pot",,"SD868737","Various inlets in Outsleets Beck Pot",,"SD868737",,"Not known","Not known","Not known",,,,"1970","BSA ","BSA Bulletin 1:13 (1970) Must be wrong",
421,"Penyghent Gill","Out Sleets Beck Pot","""Sink 1"" See survey in source","SD868737","Out Sleets Beck Pot","Left hand inlet in entrance passage","SD868737",,"Not known","Not known","Not known",,,,"1966/1967","UWFRA","BSA Bulletin 6(42):81",
422,"Ease Gill","Sink in gill above Oxford Pot",,"SD675805",,"Spout Hall",,"Fluoroscein","0.5 ounce","Not known","Not known",,,,13/05/1951,"NPC/RRCPC PMCI","Caves of Upper Easegill:21","Negative in The Snake"
423,"Ease Gill","Sink opposite Oxford Pot",,"SD675805",,,,,,,,,,,,,,
424,"Ease Gill",,,,,,,,,,,,,,,,,
425,"Chapel-le-Dale","P102",,"","Black Shiver Pot","Main upstream inlet","SD737754","Fluoroscein","Not known","Visual","30 minutes",,,,"05/1967","ULSA PMCI","ULSA Explorations Journal 1969:26","Wet conditions"
426,"Chapel-le-Dale","P102",,"","God's Bridge",,"SD732764","Fluoroscein","Not known","Detectors","12 hours",,,,"Witsun 1967","ULSA PMCI","ULSA Explorations Journal 1969:27","With flood pulse"
427,"Chapel-le-Dale","P102",,"",,,,,,,,,,,,,,
428,"","P2",,,,,,,,,,,,,,,,
429,"","P2",,,,,,,,,,,,,,,,
430,"Gaping Gill","P5",,"SD758726","Ingleborough Cave and Clapham Beck Head","Lake Avernus in IC","SD754710","Rhodamine B","600g","Detectors","20 hours",,,,01/04/1961,"BPC","BPC Bulletin 3(5):9, CRG Newsletter 1962:10","Negative at Austwich Beck Head. Medium flow"
431,"Chapel-le-Dale and Park Fell","Bargh's Cave",,"SD751768","Eller Keld (S106)",,"SD747743","Fluoroscein","3 ounces","Visual","10 hours",,,,"1966","ULSA PMCI","ULSA Explorations Journal 1969:38",
432,"Ease Gill","Pegleg Pot",,"SD663802","Leck Beck Head",,"SD660799","Not known","Not known","Not known","Not known",,,,"Not known","Not known","Descent 8:3 (1969)",
433,"Penyghent","Spike Pot sink",,"SD828729","Penyghent Pot","Spike Pot Inlet","SD829733","Fluoroscein","2 ounces","Visual","2 hours",,,,02/05/1954,"Authur Gemmel","Cave Research Group Newsletter 49/50:6 (1954)",
434,"Ease Gill","Pool Sink",,"SD677807",,"T Piece Passage",,"Fluoroscein","Not known","Visual","Not known",,,,30/09/1951,"NPC/RRCPC PMCI","Caverns of Upper Easegill:21",
435,"Great Whernside","Rigg Pot",,"SD992716","Not detected in Langcliffe Pot while cavers in cave",,,,,,,,,,11/07/1970,"ULSA PMCI","ULSA Exploration Journal II:37 (1989)","Suggests Rigg Pot water to Black Keld via independent route"
436,"Great Whernside","Rigg Pot",,"SD992716","Black Keld",,"SD974709","Fluoroscein","Not known","Not known","Not known",,,,"1954 or >","CPC","CPC Journal 1(6):20 (1954)",
437,"Dentdale and Garsdale","River Dee Sinks",,"SD723863","Not detected. Presumed riring is the The Keld (SD793866)",,,"Not known","Not known","Not detected","Not detected",,,,"Not known","Whernside Manor","BSA Journal 6(46):15 (1971)",
438,"Dentdale and Garsdale","River Dee Sinks","Sink near Sportsmans Pub","","200m downstream of sink",,"","Not known","Not known","Not known","Not known",,,,"Not known","Whernside Manor","BSA Journal 6(46):9 (1971)",
439,"Chapel-le-Dale","Roaring Hole",,"SD742763","Meregill Skit, Gods Bridge",,"SD734765","OBA","Not known","Detectors","Not known",,,,"11/1992","ULSA PMCI","CDG Newsletter 106:7 (1993)","Detector at Joint Hole negative"
440,"Dentdale and Garsdale","Robins Dub Cave",,"SD724838","Not detected",,,"Not known","Not known","Not detected",,,,,"1968","BSA ","BSA Bulletin 84:15 (1970)",
441,"Alum Pot","Selside Pot",,"SD774758","Not detected",,,"Fluoroscein","Not known","Not derected",,,,,"1973/74","ULSA PMCI","ULSA Explorations Journal II:85 (1989)",
442,"West Kingsdale","Shout Pot",,"SD702787","Bull Pot","Inlet on 4th pitch","SD702787","Not known","Not known","Visual","Not known",,,,"1986","NCC PMCI","NCC Journal 1989:40 with survey",
443,"West Kingsdale","Slanting Cave",,"SD705792","Resurgence over wall below road at Yordas car park",,"SD708791","Not known","Not known","Not known","24 hours",,,,"05/1972","CPC","CPC Journal 4(6):103",
444,"Ease Gill","Slit Sinks",,"SD676806","Green and Smelly Passage","Inlet at head",,"Fluoroscein",,"2 ounces 12.15, 1 ounce 12.30","3 hours",,,,26/04/1951,"NPC/RRCPC PMCI","Caverns of Upper Easegill:21","Heavty flow conditions"
445,"Ease Gill","Slit Sinks",,"SD676806","Not detected",,,"Not known","Not known","Not detected",,,,,11/02/1951,"NPC/RRCPC PMCI","Caverns of Upper Easegill:20 (1952)",
446,"Upper Wharfedale","Various sinks in Step Gill (Birks Fell)",,"","Not detected in Birks Wood Cave",,,"Fluoroscein","Not known","Not detected",,,,,"1968 or 1969","CPC","CPC Journal 4(4):191 (1970)",
447,"Great Whernside","Swarthgill Hole",,"SE012701","Not detected in Langcliffe Pot while cavers in cave",,,"Fluoroscein or Rhodamine B","Not known","Not detected",,,,,11/07/1970,"ULSA PMCI","ULSA Explorations Journal II:37 (1989), BSA Bulletin 6(46):21 (1971)",
